BG_ID,Gene,Synonym,Size,Mutant,Contributor,TW,PW,Prediction,Prophage,Product,Reference
BG10118,mfd,mfd,1177,MFDd,Dr. Ogasawara,No,,,,transcription-repair coupling factor,J Mol Biol 1996 Feb 23;256(2):301-18
BG10119,spoVT,spoVT,178,,,,No,,,transcriptional regulator of sigma-G-dependent genes,J Bacteriol 1996 Aug;178(15):4500-7
BG10120,yabM,yabM,532,YABMd,Dr. Ogasawara,No,,,,"possible polysaccharide transporter, similar to spoVB",
BG10121,yabN,yabN,489,YABNd,Dr. Ogasawara,No,,,,putative phosphatase and methylase,
BG10122,yabO,yabO,86,YABOdd,Dr. Ogasawara,No,,,,conserved protein,
BG10123,yabP,yabP,100,YABPd,Dr. Ogasawara,No,,,,conserved protein,
BG10124,yabQ,yabQ,211,YABQd,Dr. Ogasawara,No,,,,essential protein for formation of the spore cortex,
BG10125,divIC,divIC,125,DIVICp,Dr. Ogasawara,Yes,,,,cell-division initiation protein, J Bacteriol 1994 Mar;176(5):1451-9
BG10126,yabR,yabR,128,YABRd,Dr. Ogasawara,No,,,,RNA binding domain S1,
BG10127,spoIIE,spoIIE,827,SPOIIEd,Dr. Ogasawara,No,,,,PP2C serine phosphatase (sigma-F activation) / asymmetric septum formation,J Bacteriol 1988 Apr;170(4):1598-609
BG10128,yabS,yabS,245,YABSd,Dr. Ogasawara,No,,,,conserved protein,
BG10129,yabT,yabT,338,YABTd,Dr. Ogasawara,No,,,,probable serine/threonine-protein kinase,
BG10130,yacA,yacA,472,YACAp,Dr. Ogasawara,Yes,,,,conserved protein,Mol. Microbiol. 29:859-869(1998).
BG10131,hprT,hprT,180,HPRTp,Dr. Ogasawara,yes,,,,hypoxanthine-guanine phosphoribosyltransferase,
BG10132,ftsH,ftsH,637,FTSHd,Dr. Ogasawara,No,,,,ATP-dependent Zn protease / general stress protein (class III heat-shock),Microbiology 1997 Mar;143 ( Pt 3):971-8
BG10133,yacB,yacB,233,YACBd,Dr. Ogasawara,No,,,,Bordetella pertussis Bvg accessory factor family,
BG10134,yacC,hslO,291,YACCd,Dr. Ogasawara,No,,,,similar to Hsp33 chaperon,
BG10135,yacD,yacD,297,YACDd,Dr. Ogasawara,No,,,,pric/parvulin family of rotamase,
BG10136,cysK,cysK,308,CYSKd,Dr. Ogasawara,No,,,,cysteine synthetase A,
BG10137,pabB,pabB,470,PABBd,Dr. Ogasawara,No,,,,para-aminobenzoate synthase subunit A,J Bacteriol 1990 Dec;172(12):7211-26
BG10138,pabA,pabA,194,PABAd,Dr. Ogasawara,No,,,,para-aminobenzoate synthase glutamine amidotransferase subunit B / anthranilate synthase subunit II,J Bacteriol 1990 Dec;172(12):7211-26
BG10139,pabC,pabC,293,PABCd,Dr. Ogasawara,No,,,,aminodeoxychorismate lyase,J Bacteriol 1990 Dec;172(12):7211-26
BG10140,sul,sul,285,,,,No,,,dihydropteroate synthase,J Bacteriol 1990 Dec;172(12):7211-26
BG10141,folB,folA,120,,,,No,,,dihydroneopterin aldolase,J Bacteriol 1990 Dec;172(12):7211-26
BG10142,folK,folK,167,,,,No,,,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase",J Bacteriol 1990 Dec;172(12):7211-26
BG12701,yazB,yazB,69,YAZBdd,Dr. Ogasawara,No,,,,Probable transcrirtional regulator (Xre family),
BG10143,yacF,yacF,333,YACFd,Dr. Ogasawara,No,,,,conserved protein,
BG10144,lysS,lysS,499,LYSSp,Dr. Ogasawara,Yes,,,,lysyl-tRNA synthetase,
BG10145,ctsR,ctsR,154,YACGdd,Dr. Ogasawara,No,,,,transcriptional repressor of class III stress genes,
BG10146,mcsA,mcsA,185,YACHdd,Dr. Ogasawara,No,,,,modulator of CtsR repression,
BG10147,mcsB,mcsB,363,YACId,Dr. Ogasawara,No,,,,modulator of CtsR repression,
BG10148,clpC,clpC,810,CLPCd,Dr. Ogasawara,No,,,,class III stress response-related ATPase,J Bacteriol 1994 Jun;176(11):3360-7
BG10149,radA,sms,458,SMSd,Dr. Ogasawara,No,,,,DNA repair protein,
BG10150,yacK,yacK,360,YACKd,Dr. Ogasawara,No,,,,possible DNA binding protein with Helix-hairpin-helix motif,
BG10151,yacL,yacL,366,YACLd,Dr. Ogasawara,No,,,,conserved protein,
BG10152,yacM,ispD,232,YACMp,Dr. Ogasawara,Yes,,,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,
BG10153,yacN,ispF,158,YACNp,Dr. Ogasawara,Yes,,,,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",
BG10154,gltX,gltX,483,,,,,Yes,,glutamyl-tRNA synthetase,
BG10155,cysE,cysE,217,,,,No,,,serine acetyltransferase,
BG10156,cysS,cysS,466,,,,,Yes,,cysteinyl-tRNA synthetase,
BG12702,yazC,yazC,143,YAZCdd,Dr. Ogasawara,No,,,,conserved protein,
BG10157,yacO,yacO,249,YACOd,Dr. Ogasawara,No,,,,possible tRNA/rRNA methyltransferase,
BG10158,yacP,yacP,170,YACPdd,Dr. Ogasawara,No,,,,conserved protein,
BG10159,sigH,sigH,218,,,,No,,,"RNA polymerase sigma-H factor, vegetative and early stationary-phase sigma factor",J Bacteriol 1988 Mar;170(3):1054-62
BG10160,rpmGB,rpmG,49,,,,,Yes,,50S ribosomal protein L33,
BG10161,secE,secE,59,,,,Yes,,,preprotein translocase SecE subunit,Mol Microbiol 1993. 10:133-42
BG10162,nusG,nusG,177,NUSGd,Dr. Yoshikawa,No,,,,transcription antitermination factor,
BG10163,rplK,rplK,141,,,,No,,,50S ribosomal protein L11,Mol General Genetics 1980. 178:271-279
BG10164,rplA,rplA,232,,,,,yes,,50S ribosomal protein L1,
BG11220,rplJ,rplJ,166,,,,,Yes,,50S ribosomal protein L10,
BG10726,rplL,rplL,123,,,,,Yes,,50S ribosomal protein L7/L12,
BG10727,ybxB,ybxB,201,YBXBd,Dr. Yoshikawa,No,,,,putative RNA methylase,
BG10728,rpoB,rpoB,1193,,,,,Yes,,DNA-directed RNA polymerase beta chain,
BG10729,rpoC,rpoC,1199,,,Yes,,,,DNA-directed RNA polymerase beta' chain,
BG11365,ybxF,ybxF,82,,,,,,,ribosomal protein L7AE family,
BG19009,rpsL,rpsL,138,,,,,Yes,,30S ribosomal protein S12,
BG19006,rpsG,rpsG,156,,,,,Yes,,30S ribosomal protein S7,
BG11939,fusA,fus,692,FUSp(pMap65),Dr. Ogasawara,Yes,,,,elongation factor G,
BG11056,tufA,tufA,396,failed,Dr. Ogasawara,Yes,,,,elongation factor Tu,
BG11988,ybaC,ybaC,318,YBACd,Dr. Yoshikawa,No,,,,similar to proline iminopeptidase,
BG19008,rpsJ,rpsJ,102,,,,,Yes,,30S ribosomal protein S10,
BG11218,rplC,rplC,209,,,,,Yes,,50S ribosomal protein L3,
BG11219,rplD,rplD,207,,,,,Yes,,50S ribosomal protein L4,
BG11221,rplW,rplW,95,,,,,Yes,,50S ribosomal protein L23,
BG11217,rplB,rplB,277,,,,,Yes,,50S ribosomal protein L2,
BG19011,rpsS,rpsS,92,,,,,Yes,,30S ribosomal protein S19,
BG11078,rplV,rplV,113,,,,,Yes,,50S ribosomal protein L22,
BG19005,rpsC,rpsC,218,,,,,Yes,,30S ribosomal protein S3,
BG10755,rplP,rplP,144,,,,,Yes,,50S ribosomal protein L16,
BG10756,rpmC,rpmC,66,,,,,Yes,,50S ribosomal protein L29,
BG10757,rpsQ,rpsQ,87,,,,,Yes,,30S ribosomal protein S17,
BG10758,rplN,rplN,122,,,,,Yes,,50S ribosomal protein L14,
BG10759,rplX,rplX,103,,,,,Yes,,50S ribosomal protein L24,
BG10760,rplE,rplE,179,,,,,Yes,,50S ribosomal protein L5,
BG10761,rpsN,rpsN,61,,,,,Yes,,30S ribosomal protein S14,
BG10762,rpsH,rpsH,132,,,,,Yes,,30S ribosomal protein S8,
BG11408,rplF,rplF,179,,,,,Yes,,50S ribosomal protein L6,
BG11409,rplR,rplR,120,,,,,Yes,,50S ribosomal protein L18,
BG10442,rpsE,rpsE,166,,,,,Yes,,30S ribosomal protein S5,
BG10443,rpmD,rpmD,59,,,,,Yes,,50S ribosomal protein L30,
BG10444,rplO,rplO,146,,,,,Yes,,50S ribosomal protein L15,
BG10445,secY,secY,431,,,,Yes,,,preprotein translocase SecY subunit,FEBS Lett 1990 273(1):75-78
BG10446,adk,adk,217,failed,Dr. Ogasawara,Yes,,,,adenylate kinase,
BG10447,map,map,248,failed,Dr. Ogasawara,Yes,,,,methionine aminopeptidase,
BG11043,infA,infA,72,INFAp,Dr. Ogasawara,Yes,,,,translation initiation factor IF-1,
BG11042,rpmJ,rpmJ,37,,,,,Yes,,50S ribosomal protein L36,
BG10730,rpsM,rpsM,121,,,,,Yes,,30S ribosomal protein S13,
BG10731,rpsK,rpsK,131,,,,,Yes,,30S ribosomal protein S11,
BG10732,rpoA,rpoA,314,,,,,Yes,,DNA-directed RNA polymerase alpha chain,
BG11041,rplQ,rplQ,120,,,,,Yes,,50S ribosomal protein L17,
BG11067,ybxA,ybxA,281,YBXAd,Dr. Yoshikawa,No,,,,probable cobalt transport system ATP-binding protein,
BG11989,ybaE,ybaE,276,YBAEd,Dr. Yoshikawa,No,,,,ABC transport system ATP-binding protein,
BG11990,ybaF,ybaF,265,YBAFd,Dr. Yoshikawa,No,,,,ABC transport system ATP-binding protein,
BG11992,truA,truA,247,TRUAd,Dr. Yoshikawa,No,,,,pseudouridylate synthase I,
BG11970,rplM,rplM,145,,,,,Yes,,50S ribosomal protein L13,
BG19007,rpsI,rpsI,130,,,,,Yes,,30S ribosomal protein S9,
BG11994,ybaJ,ybaJ,255,YBAJd,Dr. Yoshikawa,No,,,,conserved protein,
BG11503,ybaK,ybaK,147,YBAKd,Dr. Yoshikawa,No,,,,conserved protein,
BG11514,cwlD,cwlD,237,,,,No,,,"N-acetylmuramoyl-L-alanine amidase, peptidoglycan hydrolase, LytC amidase family",J Bacteriol 1995 Oct;177(19):5582-9
BG11494,ybaL,ybaL,352,YBALd,Dr. Yoshikawa,No,,,,similar to ATP-binding protein Mrp,
BG10644,gerD,gerD,185,,,,No,,,spore germination protein, J Gen Microbiol 1989 Dec;135 ( Pt 12):3431-45
BG10643,kbaA,kbaA,198,,,,No,,,kinB signaling pathway activation protein,J Bacteriol 1996 Feb;178(4):1178-86
BG11416,ybaN,ybaN,254,YBANd,Dr. Yoshikawa,No,,,,similar to polysaccharide deacetylase,
BG11562,ybaR,ybaR,478,YBARd,Dr. Yoshikawa,No,,,,probable sulfate transporter,
BG11563,ybaS,ybaS,283,YBASd,Dr. Yoshikawa,No,,,,probable bile acid:Na+ symporter,
BG11565,ybbA,ybbA,189,YBBAd,Dr. Yoshikawa,No,,,,conserved protein,
BG10837,feuC,feuC,394,,,,No,,,iron transport system permease,Biochim Biophys Acta 1994 Jun 28;1186(1-2):27-34
BG10836,feuB,feuB,334,,,,No,,,iron transport system permease,Biochim Biophys Acta 1994 Jun 28;1186(1-2):27-34
BG10835,feuA,feuA,317,,,,No,,,iron transport system substrate-binding protein,Biochim Biophys Acta 1994 Jun 28;1186(1-2):27-34
BG10834,ybbB,ybbB,529,YBBBd,Dr. Yoshikawa,No,,,,probable transcriptional regulator (AraC/XylS family),
BG10833,ybbC,ybbC,414,YBBCd,Dr. Yoshikawa,No,,,,conserved protein,
BG10832,ybbD,ybbD,642,YBBDd,Dr. Yoshikawa,No,,,,probable beta-hexosaminidase,
BG11566,ybbE,ybbE,441,YBBEd,Dr. Yoshikawa,No,,,,similar to beta-lactamase,
BG11567,ybbF,ybbF,455,YBBFd,Dr. Yoshikawa,No,,,,probable PTS sucrose-specific enzyme IIBC component,
BG11569,ybbH,ybbH,283,YBBHd,Dr. Yoshikawa,No,,,,probable transcriptional regulator (HTH RpiR family) containing phosphosugar-binding domain,
BG11570,ybbI,ybbI,304,YBBId,Dr. Yoshikawa,No,,,,putative sugar phosphate isomerase,
BG11571,ybbJ,ybbJ,139,YBBJd,Dr. Yoshikawa,No,,,,conserved protein,
BG11572,ybbK,ybbK,151,YBBKd,Dr. Yoshikawa,No,,,,conserved protein,
BG11573,sigW,sigW,187,SIGWd,Dr. Yoshikawa,No,,,,RNA polymerase ECF-type sigma factor,
BG11574,ybbM,ybbM,208,YBBMd,Dr. Yoshikawa,No,,,,conserved protein,
BG11577,ybbP,ybbP,273,YBBPd,Dr. Yoshikawa,No,,,,conserved protein,
BG12703,ybbR,ybbR,483,YBBRd,Dr. Yoshikawa,No,,,,conserved protein,
BG12704,ybbT,glmM,448,YBBTp,Dr. Ogasawara,Yes,,,,phosphoglucomutase,
BG10948,glmS,glmS,600,GLMSp,Dr. Ogasawara,Yes,,,,L-glutamine-D-fructose-6-phosphate amidotransferase,
BG12705,ybbU,ybbU,46,YBBUc,Dr. Ogasawara,No,,,,function unknown and unique,
BG10165,alkA,alkA,303,,,,No,,,DNA-3-methyladenine glycosidase,J Bacteriol 1993 Sep;175(18):6010-7
BG10166,adaA,adaA,211,,,,No,,,methylphosphotriester-DNA alkyltransferase / transcriptional regulator (AraC family),J Bacteriol 1991 Dec;173(24):7834-40
BG10167,adaB,adaB,179,,,,No,,,O6-methylguanine-DNA methyltransferase,J Bacteriol 1991 Dec;173(24):7834-40
BG10949,ndhF,ndhF,505,NDHFd,Dr. Ogasawara,No,,,,NADH dehydrogenase subunit 5,
BG12706,ybcC,ybcC,80,YBCCd,Dr. Tanaka,No,,,,function unknown and unique,
BG12707,ybcD,ybcD,754,YBCDd,Dr. Tanaka,No,,,,conserved protein,
BG12708,ybcF,ybcF,175,YBCFd,Dr. Tanaka,No,,,,plant-type carbonic anhydrase,
BG12709,ybcH,ybcH,96,YBCHdd,Dr. Tanaka,No,,,,function unknown and unique,
BG12710,ybcI,ybcI,124,YBCId,Dr. Tanaka,No,,,,conserved protein,
BG12711,ybcL,ybcL,390,YBCLd,Dr. Tanaka,No,,,,probable transporter,
BG12712,ybcM,ybcM,104,YBCMd,Dr. Tanaka,No,,,,similar to glucosamine-fructose-6-phosphate aminotransferase,
BG12713,ybcO,ybcO,55,YBCOdd,Dr. Tanaka,No,,,,function unknown and unique,
BG12714,ybcP,ybcP,410,"YBCPd, YBCQd",Dr. Tanaka,No,,,,similar to coenzyme PQQ synthesis protein,
BG12716,ybcS,ybcS,185,YBCSd,Dr. Tanaka,No,,,,function unknown and unique,
BG12717,ybcT,ybcT,311,YBCTdd,Dr. Tanaka,No,,,,function unknown and unique,
BG12718,ybdA,ybdA,239,YBDAd,Dr. Tanaka,No,,,,"ABC transport system ATP-binding protein, the mutation exhibited highly oligosporogenous phenotypes",
BG12719,ybdB,ybdB,448,YBDBd,Dr. Tanaka,No,,,,"ABC transport system permease protein, the mutation exhibited highly oligosporogenous phenotypes",
BG12720,ybdD,ybdD,137,YBDBd,Dr. Tanaka,No,,,,function unknown and unique,
BG12721,ybdE,ybdE,141,YBDEd,Dr. Tanaka,No,,,,conserved protein,
BG12722,ybdG,ybdG,296,YBDGd,Dr. Tanaka,No,,,,conserved protein,
BG12723,ybdJ,ybdJ,223,YBDJd,Dr. Tanaka,No,,,,two-component response regulator. potential cognate sensor kinase is YbdK,
BG12724,ybdK,ybdK,320,YBDKd,Dr. Tanaka,No,,,,two-component sensor histidine kinase. potential cognate response regulator is YbdJ,
BG12725,ybdL,ybdL,64,YBDLdd,Dr. Tanaka,No,,,,function unknown and unique,
BG12726,ybdM,ybdM,256,YBDMd,Dr. Tanaka,No,,,,eukaryotic protein kinase,
BG12727,ybdN,ybdN,285,YBDNd,Dr. Tanaka,No,,,,conserved protein,
BG12728,ybdO,ybdO,394,YBDOd,Dr. Tanaka,No,,,,function unknown and unique,
BG11505,ybxG,ybxG,462,YBXGd,Dr. Tanaka,No,,,,probable amino acid transporter,
BG11504,csgA,csgA,82,,,,No,,,sigma-G-dependent sporulation specific SASP protein,Gene 184:133-140(1997)
BG11506,ybxH,ybxH,63,YBXHdd,Dr. Tanaka,No,,,,function unknown and unique,
BG11507,ybxI,ybxI,267,YBXId,Dr. Tanaka,No,,,,similar to beta-lactamase,
BG12729,cypC,cypC,417,YBDTd,Dr. Tanaka,No,,,,fatty acid beta hydroxylase (cytochrome P450),
BG12754,ybyB,ybyB,86,YBYBdd,Dr. Tanaka,No,,,,conserved protein,
BG12730,ybeC,ybeC,539,YBECd,Dr. Tanaka,No,,,,probable amino acid transporter,
BG10646,glpQ,glpQ,293,GLPQd,Dr. Ogasawara,No,,,,glycerophosphoryl diester phosphodiesterase,
BG10645,glpT,glpT,444,GLPTd,Dr. Ogasawara,No,,,,glycerol-3-phosphate permease,
BG12731,ybeF,ybeF,82,YBEFdd,Dr. Tanaka,No,,,,similar gene in B. subtilis,
BG12732,ybfA,ybfA,305,YBFAd,Dr. Tanaka,No,,,,probable transcriptional regulator (Mar family),
BG12733,ybfB,ybfB,416,YBFBd,Dr. Tanaka,No,,,,probable transporter,
BG12734,ybfE,ybfE,94,YBFEd,Dr. Tanaka,No,,,,function unknown and unique,
BG12735,ybfF,ybfF,303,YBFFd,Dr. Tanaka,No,,,,function unknown and unique,
BG12736,ybfG,ybfG,732,YBFGd,Dr. Tanaka,No,,,,cell wall binding protein,
BG12737,ybfH,ybfH,306,YBFHd,Dr. Tanaka,No,,,,conserved membrane protein,
BG12738,ybfI,ybfI,275,YBFId,Dr. Tanaka,No,,,,probable transcriptional regulator (AraC/XylS family),
BG10924,purT,purT,384,,,,No,,,phosphoribosylglycinamide formyltransferase 2,
BG10690,mpr,mpr,313,,,,No,,,extracellular metalloprotease,"J. Bacteriol. 172:1024-1029, 1990"
BG12739,ybfJ,ybfJ,132,YBFJdd,Dr. Yoshikawa,No,,,,function unknown and unique,
BG12740,ybfK,ybfK,296,YBFKd,Dr. Yoshikawa,No,,,,carboxylesterase,
BG11012,pssA,pssA,177,,,,No,,,phosphatidylserine synthase, J Bacteriol 1998 Jan;180(1):100-6
BG12741,ybfM,ybfM,162,YBFMd,Dr. Yoshikawa,No,,,,conserved membrane protein,
BG11013,psd,psd,263,,,,No,,,phosphatidylserine decarboxylase, J Bacteriol 1998 Jan;180(1):100-6
BG12742,ybfN,ybfN,92,YBFNdd,Dr. Yoshikawa,No,,,,function unknown and unique,
BG12743,ybfO,ybfO,446,YBFOd,Dr. Yoshikawa,No,,,,similar to erythromycin esterase,
BG12744,ybfP,ybfP,295,YBFPd,Dr. Yoshikawa,No,,,,probable transcriptional regulator (AraC/XylS family),
BG12745,ybfQ,ybfQ,322,YBFQd,Dr. Yoshikawa,No,,,,uncharacterized enzyme related to sulfurtransferases,
BG11015,gltP,gltP,414,,,,,No,,proton/glutamate symport protein,
BG11014,gamP,gamP,631,YBFSd,Dr. Yoshikawa,No,,,,PTS glucosamine-specific enzyme IICBA component,
BG12746,gamA,gamA,249,YBFTd,Dr. Yoshikawa,No,,,,glucosamine-6-phosphate isomerase,
BG12747,ybgA,ybgA,235,YBGAd,Dr. Yoshikawa,No,,,,probable transcriptional regulator (GntR family),
BG12748,ybgB,ybgB,91,YBGBdd,Dr. Yoshikawa,No,,,,necessary for bacilysin biosynthesis,
BG12749,ybgE,ybgE,356,YBGEd,Dr. Yoshikawa,No,,,,branched-chain amino acid aminotransferase,
BG12750,ybgF,ybgF,470,YBGFd,Dr. Yoshikawa,No,,,,probable amino acid transporter,
BG12751,ybgG,ybgG,315,YBGGd,Dr. Yoshikawa,No,,,,homocysteine S-methyltransferase (S-methylmethionine-dependent),
BG12752,ybgH,ybgH,463,YBGHd,Dr. Yoshikawa,No,,,,putative sodium/proton-dependent alanine transporter,
BG12753,ybgJ,ybgJ,327,YBGJd,Dr. Yoshikawa,No,,,,glutaminase,
BG10871,ycbA,ycbA,387,YCBAd,Dr. Yamane,No,,,,two-component sensor histidine kinase. potential cognate response regulator is YcbB,
BG10872,ycbB,ycbB,314,YCBBd,Dr. Yamane,No,,,,two-component response regulator. potential cognate sensor kinase is YcbA,
BG11158,ycbC,ycbC,308,YCBCd,Dr. Yamane,No,,,,5-dehydro-4-deoxyglucarate dehydratase,
BG11159,ycbD,ycbD,488,YCBDd,Dr. Yamane,No,,,,aldehyde dehydrogenase,
BG11160,ycbE,ycbE,455,YCBEd,Dr. Yamane,No,,,,probable glucarate transporter,
BG11161,ycbF,ycbF,455,YCBFd,Dr. Yamane,No,,,,probable glucarate dehydratase,
BG11162,ycbG,ycbG,233,YCBGd,Dr. Yamane,No,,,,probable transcriptional regulator (GntR family),
BG11163,ycbH,ycbH,510,YCBHd,Dr. Yamane,No,,,,probable galactarate dehydratase,
BG11165,ycbJ,ycbJ,306,YCBJd,Dr. Yamane,No,,,,similar to viomycin phosphotransferase,
BG12776,yczA,yczA,53,YCZAdd,Dr. Yamane,No,,,,"inhibitor of TRAP, regulated by T-BOX (trp) sequence",
BG11166,ycbK,ycbK,312,YCBKd,Dr. Yamane,No,,,,conserved membrane protein,
BG11167,ycbL,ycbL,226,YCBLd,Dr. Yamane,No,,,,two-component response regulator. potential cognate sensor kinase is YcbM,
BG11168,ycbM,ycbM,158,YCBMd,Dr. Yamane,No,,,,two-component sensor histidine kinase. potential cognate response regulator is YcbL,
BG11169,ycbN,ycbN,279,YCBNd,Dr. Yamane,No,,,,ABC transport system ATP-binding protein,
BG11170,ycbO,ycbO,204,YCBOd,Dr. Yamane,No,,,,conserved membrane protein,
BG11171,ycbP,ycbP,128,YCBPd,Dr. Yamane,No,,,,conserved membrane protein,
BG11172,cwlJ,cwlJ,142,,,,No,,,"N-acetylmuramoyl-L-alanine amidase, peptidoglycan hydrolase",J Bacteriol. 1998 Mar;180(6):1375-80.
