Position,Locus Tag,Replicon,Class - General,Class - Specific,# TA Sites,% Sites Hit,Reads per Site Hit,EL-ARTIST Call,Gene Function,Protein ID,%GC,K12 Homolog ,Call in Keio Collection,COG,,,,,,,,,,,,,,,,,,,,,,,
41,EDL933_RS00220,chromosome,protein_coding,protein_coding,47,64,27,Neutral,crotonobetainyl-CoA dehydrogenase,WP_000347117.1,53.8,b0039,Not Essential,I,,,,,,,,,,,,,,,,,,,,,,,
42,EDL933_RS00225,chromosome,protein_coding,protein_coding,69,71,37,Neutral,L-carnitine/gamma-butyrobetaine antiporter,WP_000787124.1,51.9,b0040,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
43,EDL933_RS32910,chromosome,pseudogene,pseudogene,13,31,53,Regional,hypothetical protein,---,42.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
44,EDL933_RS00235,chromosome,protein_coding,protein_coding,30,53,35,Neutral,protein FixB,WP_001091483.1,55.9,b0042,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
45,EDL933_RS00240,chromosome,protein_coding,protein_coding,40,65,26,Neutral,FAD-dependent oxidoreductase,WP_001287748.1,54.9,b0043,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
46,EDL933_RS00245,chromosome,protein_coding,protein_coding,6,33,49,Neutral,ferredoxin-like protein FixX,WP_000203741.1,56.9,b0044,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
47,EDL933_RS00250,chromosome,protein_coding,protein_coding,51,59,38,Neutral,MFS transporter,WP_001183177.1,53.4,b0045,Not Essential,GEPR,,,,,,,,,,,,,,,,,,,,,,,
48,EDL933_RS00255,chromosome,protein_coding,protein_coding,19,47,31,Neutral,glutathione-regulated potassium-efflux system ancillary protein KefF,WP_000600700.1,54.8,b0046,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
49,EDL933_RS00260,chromosome,protein_coding,protein_coding,50,68,19,Neutral,glutathione-regulated potassium-efflux system protein KefC,WP_000377184.1,55.8,b0047,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
50,EDL933_RS00265,chromosome,protein_coding,protein_coding,21,0,0,Underrepresented,type 3 dihydrofolate reductase,WP_000624372.1,53.3,b0048,Essential,H,,,,,,,,,,,,,,,,,,,,,,,
51,EDL933_RS00270,chromosome,protein_coding,protein_coding,10,80,13,Neutral,antitoxin,WP_000125566.1,48.7,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
52,EDL933_RS00275,chromosome,protein_coding,protein_coding,21,76,24,Neutral,plasmid maintenance protein CcdB,WP_001160975.1,45.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
53,EDL933_RS00280,chromosome,protein_coding,protein_coding,35,74,29,Neutral,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),WP_000257187.1,55.9,b0049,Not Essential,T,,,,,,,,,,,,,,,,,,,,,,,
54,EDL933_RS00285,chromosome,protein_coding,protein_coding,15,60,19,Neutral,Co2+/Mg2+ efflux protein ApaG,WP_000610901.1,51.9,b0050,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
55,EDL933_RS00290,chromosome,protein_coding,protein_coding,29,55,21,Neutral,ribosomal RNA small subunit methyltransferase A,WP_001065380.1,53.2,b0051,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
56,EDL933_RS00295,chromosome,protein_coding,protein_coding,36,64,21,Neutral,4-hydroxythreonine-4-phosphate dehydrogenase,WP_000241259.1,56.2,b0052,Not Essential,H,,,,,,,,,,,,,,,,,,,,,,,
57,EDL933_RS00300,chromosome,protein_coding,protein_coding,39,69,26,Neutral,chaperone SurA,WP_000800457.1,53.8,b0053,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
58,EDL933_RS00305,chromosome,protein_coding,protein_coding,133,2,12,Underrepresented,LPS-assembly protein LptD,WP_000746183.1,51.3,b0054,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
59,EDL933_RS00310,chromosome,protein_coding,protein_coding,28,79,23,Neutral,molecular chaperone DjlA,WP_001200573.1,52.8,b0055,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
60,EDL933_RS00315,chromosome,protein_coding,protein_coding,51,55,17,Neutral,UDP pyrophosphate phosphatase,WP_001304001.1,41.8,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
61,EDL933_RS29335,chromosome,protein_coding,protein_coding,11,73,16,Neutral,hypothetical protein,WP_077626216.1,47.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
62,EDL933_RS00320,chromosome,protein_coding,protein_coding,27,70,30,Neutral,bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA,WP_000525186.1,54.1,b0058,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
63,EDL933_RS00325,chromosome,protein_coding,protein_coding,96,68,28,Neutral,RNA polymerase-associated protein RapA,WP_001117011.1,55.0,b0059,Not Essential,KL,,,,,,,,,,,,,,,,,,,,,,,
64,EDL933_RS00330,chromosome,protein_coding,protein_coding,87,74,20,Neutral,DNA polymerase II,WP_000035699.1,55.6,b0060,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
65,EDL933_RS00335,chromosome,protein_coding,protein_coding,27,78,37,Neutral,L-ribulose-5-phosphate 4-epimerase,WP_000888654.1,54.9,b0061,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
66,EDL933_RS00340,chromosome,protein_coding,protein_coding,45,73,25,Neutral,L-arabinose isomerase,WP_000151715.1,55.6,b0062,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
67,EDL933_RS00345,chromosome,protein_coding,protein_coding,46,72,33,Neutral,ribulokinase,WP_000951872.1,58.0,b0063,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
68,EDL933_RS29350,chromosome,pseudogene,pseudogene,13,23,19,Neutral,hypothetical protein,---,43.6,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
69,EDL933_RS00350,chromosome,protein_coding,protein_coding,34,65,15,Neutral,arabinose operon regulatory protein,WP_001300811.1,52.9,b0064,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
70,EDL933_RS00355,chromosome,protein_coding,protein_coding,25,68,28,Neutral,DedA family protein,WP_001148407.1,54.4,b0065,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
71,EDL933_RS00360,chromosome,protein_coding,protein_coding,26,54,19,Neutral,thiamine import ATP-binding protein ThiQ,WP_000916267.1,56.9,b0066,Not Essential,H,,,,,,,,,,,,,,,,,,,,,,,
72,EDL933_RS00365,chromosome,protein_coding,protein_coding,48,60,23,Neutral,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,WP_000235663.1,59.0,b0067,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
73,EDL933_RS00370,chromosome,protein_coding,protein_coding,34,62,17,Neutral,thiamine ABC transporter substrate binding subunit,WP_001301693.1,52.9,b0068,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
74,EDL933_RS00375,chromosome,protein_coding,protein_coding,38,74,13,Neutral,hypothetical protein,WP_000868321.1,43.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
75,EDL933_RS00380,chromosome,protein_coding,protein_coding,53,74,23,Neutral,transcriptional regulator,WP_001138626.1,55.2,b0069,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
76,EDL933_RS00385,chromosome,protein_coding,protein_coding,6,50,26,Neutral,glucose uptake inhibitor SgrT,WP_001248768.1,47.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
77,EDL933_RS00390,chromosome,protein_coding,protein_coding,18,67,33,Neutral,3-isopropylmalate dehydratase small subunit,WP_000818246.1,52.3,b0071,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
78,EDL933_RS00395,chromosome,protein_coding,protein_coding,46,59,32,Neutral,3-isopropylmalate dehydratase large subunit,WP_001140649.1,55.7,b0072,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
79,EDL933_RS00400,chromosome,protein_coding,protein_coding,40,78,36,Neutral,3-isopropylmalate dehydrogenase,WP_000042351.1,54.9,b0073,Not Essential,CE,,,,,,,,,,,,,,,,,,,,,,,
80,EDL933_RS00405,chromosome,protein_coding,protein_coding,63,70,32,Neutral,2-isopropylmalate synthase,WP_000082847.1,53.1,b0074,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
81,EDL933_RS00410,chromosome,protein_coding,protein_coding,7,86,22,Neutral,leu operon leader peptide,WP_001300467.1,47.1,b0075,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
82,EDL933_RS00415,chromosome,protein_coding,protein_coding,51,61,31,Neutral,transcriptional regulator LeuO,WP_001302209.1,45.8,b0076,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
83,EDL933_RS00420,chromosome,protein_coding,protein_coding,71,79,29,Neutral,acetolactate synthase 3 large subunit,WP_000425681.1,52.8,b0077,Not Essential,EH,,,,,,,,,,,,,,,,,,,,,,,
84,EDL933_RS00425,chromosome,protein_coding,protein_coding,22,82,15,Neutral,acetolactate synthase small subunit,WP_001301948.1,49.4,b0078,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
85,EDL933_RS00430,chromosome,protein_coding,protein_coding,3,67,24,Neutral,hypothetical protein,WP_011478100.1,43.8,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
86,EDL933_RS00435,chromosome,protein_coding,protein_coding,34,74,31,Neutral,catabolite repressor/activator,WP_000762401.1,54.8,b0080,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
87,EDL933_RS29355,chromosome,protein_coding,protein_coding,11,64,7,Neutral,hypothetical protein,WP_001308350.1,45.9,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
88,EDL933_RS00440,chromosome,protein_coding,protein_coding,16,50,25,Neutral,division/cell wall cluster transcriptional repressor MraZ,WP_001295770.1,52.3,b0081,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
89,EDL933_RS00445,chromosome,protein_coding,protein_coding,31,10,4,Underrepresented,ribosomal RNA small subunit methyltransferase H,WP_000970479.1,54.9,b0082,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
90,EDL933_RS00450,chromosome,protein_coding,protein_coding,12,17,8,Underrepresented,cell division protein FtsL,WP_000625658.1,50.5,b0083,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
91,EDL933_RS00455,chromosome,protein_coding,protein_coding,88,1,1,Underrepresented,peptidoglycan synthase FtsI,WP_000642196.1,53.7,b0084,Essential,DM,,,,,,,,,,,,,,,,,,,,,,,
92,EDL933_RS00460,chromosome,protein_coding,protein_coding,49,0,0,Underrepresented,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",WP_000785149.1,56.3,b0085,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
93,EDL933_RS00465,chromosome,protein_coding,protein_coding,53,6,14,Underrepresented,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,WP_000626703.1,54.7,b0086,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
94,EDL933_RS00470,chromosome,protein_coding,protein_coding,49,0,0,Underrepresented,phospho-N-acetylmuramoyl-pentapeptide-transferase,WP_000964134.1,53.1,b0087,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
95,EDL933_RS00475,chromosome,protein_coding,protein_coding,49,0,0,Underrepresented,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,WP_000796483.1,55.2,b0088,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
96,EDL933_RS00480,chromosome,protein_coding,protein_coding,57,0,0,Underrepresented,lipid II flippase FtsW,WP_001295532.1,52.9,b0089,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
97,EDL933_RS00485,chromosome,protein_coding,protein_coding,41,2,16,Underrepresented,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,WP_001275836.1,56.0,b0090,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
98,EDL933_RS00490,chromosome,protein_coding,protein_coding,51,0,0,Underrepresented,UDP-N-acetylmuramate--L-alanine ligase,WP_001096048.1,54.6,b0091,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
99,EDL933_RS00495,chromosome,protein_coding,protein_coding,44,55,26,Neutral,D-alanine--D-alanine ligase B,WP_000130066.1,51.7,b0092,Not Essential,MR,,,,,,,,,,,,,,,,,,,,,,,
100,EDL933_RS00500,chromosome,protein_coding,protein_coding,27,7,14,Underrepresented,cell division protein FtsQ,WP_000075744.1,53.5,b0093,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
101,EDL933_RS00505,chromosome,protein_coding,protein_coding,56,0,0,Underrepresented,cell division protein FtsA,WP_000588474.1,52.3,b0094,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
102,EDL933_RS00510,chromosome,protein_coding,protein_coding,40,0,0,Underrepresented,cell division protein FtsZ,WP_000462776.1,54.3,b0095,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
103,EDL933_RS00515,chromosome,protein_coding,protein_coding,38,8,6,Underrepresented,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,WP_000595482.1,51.2,b0096,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
104,EDL933_RS00520,chromosome,protein_coding,protein_coding,18,6,15,Underrepresented,SecA regulator SecM,WP_000014320.1,54.6,b0097,Essential,---,,,,,,,,,,,,,,,,,,,,,,,
105,EDL933_RS00525,chromosome,protein_coding,protein_coding,106,1,12,Underrepresented,protein translocase subunit SecA,WP_000905780.1,52.2,b0098,Essential,U,,,,,,,,,,,,,,,,,,,,,,,
106,EDL933_RS00530,chromosome,protein_coding,protein_coding,20,60,20,Neutral,8-oxo-dGTP diphosphatase MutT,WP_000736023.1,48.4,b0099,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
107,EDL933_RS00540,chromosome,protein_coding,protein_coding,2,100,4,Neutral,DNA gyrase inhibitor YacG,WP_000005042.1,52.0,b0101,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
108,EDL933_RS00545,chromosome,protein_coding,protein_coding,28,64,20,Neutral,cell division protein ZapD,WP_001194728.1,51.3,b0102,Not Essential,D,,,,,,,,,,,,,,,,,,,,,,,
109,EDL933_RS00550,chromosome,protein_coding,protein_coding,26,15,38,Underrepresented,dephospho-CoA kinase,WP_001269520.1,52.7,b0103,Essential,H,,,,,,,,,,,,,,,,,,,,,,,
110,EDL933_RS00555,chromosome,protein_coding,protein_coding,38,63,27,Neutral,guanosine monophosphate reductase,WP_001217330.1,51.0,b0104,Not Essential,F,,,,,,,,,,,,,,,,,,,,,,,
111,EDL933_RS00560,chromosome,protein_coding,protein_coding,56,64,30,Neutral,type IV pilin biogenesis protein,WP_000157271.1,52.2,b0106,Not Essential,NUW,,,,,,,,,,,,,,,,,,,,,,,
112,EDL933_RS00565,chromosome,protein_coding,protein_coding,59,76,30,Neutral,type II secretion system protein GspE,WP_001025202.1,54.0,b0107,Not Essential,NUW,,,,,,,,,,,,,,,,,,,,,,,
113,EDL933_RS00570,chromosome,protein_coding,protein_coding,19,68,31,Neutral,major pilin subunit,WP_000360900.1,53.3,b0108,Not Essential,NUW,,,,,,,,,,,,,,,,,,,,,,,
114,EDL933_RS00575,chromosome,protein_coding,protein_coding,9,67,55,Neutral,hypothetical protein,WP_001303792.1,49.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
115,EDL933_RS00580,chromosome,protein_coding,protein_coding,30,70,27,Neutral,carboxylating nicotinate-nucleotide diphosphorylase,WP_001135168.1,53.6,b0109,Not Essential,H,,,,,,,,,,,,,,,,,,,,,,,
116,EDL933_RS00585,chromosome,protein_coding,protein_coding,21,62,18,Neutral,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",WP_000923722.1,54.0,b0110,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
117,EDL933_RS00590,chromosome,protein_coding,protein_coding,36,61,45,Neutral,regulatory signaling modulator protein AmpE,WP_000172008.1,52.0,b0111,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
118,EDL933_RS00595,chromosome,protein_coding,protein_coding,75,63,21,Neutral,aromatic amino acid transporter AroP,WP_010904500.1,52.5,b0112,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
119,EDL933_RS00600,chromosome,protein_coding,protein_coding,20,75,22,Neutral,pyruvate dehydrogenase complex repressor,WP_000331776.1,55.4,b0113,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
120,EDL933_RS29360,chromosome,protein_coding,protein_coding,13,39,2,Underrepresented,hypothetical protein,WP_001299868.1,38.8,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
121,EDL933_RS32495,chromosome,pseudogene,pseudogene,10,40,40,Regional,hypothetical protein,---,49.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
122,EDL933_RS00610,chromosome,protein_coding,protein_coding,50,10,4,Underrepresented,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,WP_000963555.1,54.7,b0115,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
123,EDL933_RS00615,chromosome,protein_coding,protein_coding,54,2,1,Underrepresented,dihydrolipoyl dehydrogenase,WP_000102485.1,52.5,b0116,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
124,EDL933_RS00620,chromosome,protein_coding,protein_coding,71,76,33,Neutral,DUF3300 domain-containing protein,WP_000784447.1,53.9,b0117,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
125,EDL933_RS29365,chromosome,protein_coding,protein_coding,4,75,25,Neutral,hypothetical protein,WP_001480366.1,51.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
126,EDL933_RS00625,chromosome,protein_coding,protein_coding,83,12,6,Underrepresented,aconitate hydratase B,WP_001303793.1,55.7,b0118,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
127,EDL933_RS00630,chromosome,protein_coding,protein_coding,15,80,42,Neutral,UPF0231 family protein,WP_000384306.1,52.1,b0119,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
128,EDL933_RS00635,chromosome,protein_coding,protein_coding,52,60,27,Neutral,S-adenosylmethionine decarboxylase proenzyme,WP_000734287.1,46.0,b0120,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
129,EDL933_RS00640,chromosome,protein_coding,protein_coding,40,78,22,Neutral,polyamine aminopropyltransferase,WP_000818414.1,51.2,b0121,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
130,EDL933_RS00645,chromosome,protein_coding,protein_coding,14,79,9,Neutral,PulS family protein,WP_001295568.1,49.4,b0122,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
131,EDL933_RS00650,chromosome,protein_coding,protein_coding,60,68,34,Neutral,multicopper oxidase,WP_001189614.1,54.2,b0123,Not Essential,DPM,,,,,,,,,,,,,,,,,,,,,,,
132,EDL933_RS00655,chromosome,protein_coding,protein_coding,90,66,35,Neutral,"membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family",WP_001297052.1,55.2,b0124,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
