Position,Locus Tag,Replicon,Class - General,Class - Specific,# TA Sites,% Sites Hit,Reads per Site Hit,EL-ARTIST Call,Symbol,Gene Function,Protein ID,Call in Keio Collection,,,,,,,
40,b0041,chromosome,Protein_Coding,protein_coding,26,69,24,Neutral,fixA,anaerobic carnitine reduction putative electron transfer flavoprotein subunit,WP_000692204.1,Not Essential,,,,,,,
41,b0042,chromosome,Protein_Coding,protein_coding,29,59,39,Neutral,fixB,"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",WP_001091499.1,Not Essential,,,,,,,
42,b0043,chromosome,Protein_Coding,protein_coding,38,68,49,Neutral,fixC,putative oxidoreductase,WP_001287715.1,Not Essential,,,,,,,
43,b0044,chromosome,Protein_Coding,protein_coding,6,50,90,Neutral,fixX,putative 4Fe-4S ferredoxin-type protein,WP_000203741.1,Not Essential,,,,,,,
44,b0045,chromosome,Protein_Coding,protein_coding,50,60,38,Neutral,yaaU,putative MFS sugar transporter; membrane protein,WP_001183198.1,Not Essential,,,,,,,
45,b0046,chromosome,Protein_Coding,protein_coding,17,77,42,Neutral,kefF,"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",WP_000600725.1,Not Essential,,,,,,,
46,b0047,chromosome,Protein_Coding,protein_coding,54,72,33,Neutral,kefC,potassium:proton antiporter,WP_000377098.1,Not Essential,,,,,,,
47,b0048,chromosome,Protein_Coding,protein_coding,20,0,0,Underrepresented,folA,dihydrofolate reductase,WP_000624375.1,Essential,,,,,,,
48,b0049,chromosome,Protein_Coding,protein_coding,37,5,7,Underrepresented,apaH,diadenosine tetraphosphatase,WP_000257192.1,Not Essential,,,,,,,
49,b0050,chromosome,Protein_Coding,protein_coding,15,87,93,Neutral,apaG,protein associated with Co2+ and Mg2+ efflux,WP_000610901.1,Not Essential,,,,,,,
50,b0051,chromosome,Protein_Coding,protein_coding,31,32,19,Neutral,rsmA,"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent",WP_001065381.1,Not Essential,,,,,,,
51,b0052,chromosome,Protein_Coding,protein_coding,35,63,45,Neutral,pdxA,"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent",WP_000241277.1,Not Essential,,,,,,,
52,b0053,chromosome,Protein_Coding,protein_coding,38,3,14,Underrepresented,surA,peptidyl-prolyl cis-trans isomerase (PPIase),WP_000800457.1,Not Essential,,,,,,,
53,b0054,chromosome,Protein_Coding,protein_coding,133,1,93,Underrepresented,lptD,"LPS assembly OM complex LptDE, beta-barrel component",WP_000746151.1,Essential,,,,,,,
54,b0055,chromosome,Protein_Coding,protein_coding,27,74,34,Neutral,djlA,"membrane-anchored DnaK co-chaperone, DNA-binding protein",WP_001200579.1,Not Essential,,,,,,,
55,b4659,chromosome,Pseudogene,pseudogene,59,63,23,Neutral,yabP,---,---,Not Essential,,,,,,,
56,b0058,chromosome,Protein_Coding,protein_coding,27,59,28,Neutral,rluA,"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",WP_000525176.1,Not Essential,,,,,,,
57,b0059,chromosome,Protein_Coding,protein_coding,95,58,38,Neutral,rapA,"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase",WP_001117011.1,Not Essential,,,,,,,
58,b0060,chromosome,Protein_Coding,protein_coding,88,71,58,Neutral,polB,DNA polymerase II,WP_000035670.1,Not Essential,,,,,,,
59,b0061,chromosome,Protein_Coding,protein_coding,28,75,46,Neutral,araD,L-ribulose-5-phosphate 4-epimerase,WP_000888666.1,Not Essential,,,,,,,
60,b0062,chromosome,Protein_Coding,protein_coding,43,56,37,Neutral,araA,L-arabinose isomerase,WP_000151748.1,Not Essential,,,,,,,
61,b0063,chromosome,Protein_Coding,protein_coding,44,61,44,Neutral,araB,L-ribulokinase,WP_000951856.1,Not Essential,,,,,,,
62,b0064,chromosome,Protein_Coding,protein_coding,35,54,22,Neutral,araC,ara regulon transcriptional activator; autorepressor,WP_001300811.1,Not Essential,,,,,,,
63,b0065,chromosome,Protein_Coding,protein_coding,27,59,23,Neutral,yabI,DedA family inner membrane protein,WP_001148390.1,Not Essential,,,,,,,
64,b0066,chromosome,Protein_Coding,protein_coding,27,56,40,Neutral,thiQ,thiamine/thiamine pyrophosphate ABC transporter ATPase,WP_000916281.1,Not Essential,,,,,,,
65,b0067,chromosome,Protein_Coding,protein_coding,50,64,56,Neutral,thiP,thiamine/thiamine pyrophosphate ABC transporter permease,WP_000235721.1,Not Essential,,,,,,,
66,b0068,chromosome,Protein_Coding,protein_coding,33,61,23,Neutral,thiB,thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein,WP_001301364.1,Not Essential,,,,,,,
67,b0069,chromosome,Protein_Coding,protein_coding,51,67,28,Neutral,sgrR,transcriptional DNA-binding transcriptional activator of sgrS sRNA,WP_001138624.1,Not Essential,,,,,,,
68,b4662,chromosome,Protein_Coding,protein_coding,5,60,24,Neutral,sgrT,inhibitor of glucose uptake,WP_001248770.1,Not Essential,,,,,,,
69,b0070,chromosome,Protein_Coding,protein_coding,74,69,41,Neutral,setA,broad specificity sugar efflux system,WP_000637847.1,Not Essential,,,,,,,
70,b0071,chromosome,Protein_Coding,protein_coding,19,63,42,Neutral,leuD,3-isopropylmalate dehydratase small subunit,WP_000818228.1,Not Essential,,,,,,,
71,b0072,chromosome,Protein_Coding,protein_coding,44,57,37,Neutral,leuC,3-isopropylmalate dehydratase large subunit,WP_001140652.1,Not Essential,,,,,,,
72,b0073,chromosome,Protein_Coding,protein_coding,38,71,68,Neutral,leuB,"3-isopropylmalate dehydrogenase, NAD(+)-dependent",WP_000042353.1,Not Essential,,,,,,,
73,b0074,chromosome,Protein_Coding,protein_coding,61,75,45,Neutral,leuA,2-isopropylmalate synthase,WP_000082850.1,Not Essential,,,,,,,
74,b0075,chromosome,Protein_Coding,protein_coding,7,71,50,Neutral,leuL,leu operon leader peptide,WP_001300467.1,Not Essential,,,,,,,
75,b0076,chromosome,Protein_Coding,protein_coding,50,62,38,Neutral,leuO,global transcription factor,WP_001115472.1,Not Essential,,,,,,,
76,b0077,chromosome,Protein_Coding,protein_coding,69,68,45,Neutral,ilvI,acetolactate synthase 3 large subunit,WP_001295534.1,Not Essential,,,,,,,
77,b0078,chromosome,Protein_Coding,protein_coding,21,71,39,Neutral,ilvH,"acetolactate synthase 3, small subunit, valine-sensitive",WP_001300383.1,Not Essential,,,,,,,
78,b0080,chromosome,Protein_Coding,protein_coding,32,3,25,Underrepresented,cra,transcriptional repressor-activator for carbon metabolism,WP_000762401.1,Not Essential,,,,,,,
79,b0081,chromosome,Protein_Coding,protein_coding,17,29,43,Regional,mraZ,RsmH methytransferase inhibitor,WP_001295533.1,Not Essential,,,,,,,
80,b0082,chromosome,Protein_Coding,protein_coding,31,3,1,Underrepresented,rsmH,"16S rRNA m(4)C1402 methyltransferase, SAM-dependent",WP_000970479.1,Not Essential,,,,,,,
81,b0083,chromosome,Protein_Coding,protein_coding,12,0,0,Underrepresented,ftsL,membrane bound cell division leucine zipper septum protein,WP_000625658.1,Essential,,,,,,,
82,b0084,chromosome,Protein_Coding,protein_coding,88,0,0,Underrepresented,ftsI,transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3,WP_000642196.1,Essential,,,,,,,
83,b0085,chromosome,Protein_Coding,protein_coding,49,0,0,Underrepresented,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,WP_000775093.1,Essential,,,,,,,
84,b0086,chromosome,Protein_Coding,protein_coding,55,2,3,Underrepresented,murF,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,WP_000626685.1,Essential,,,,,,,
85,b0087,chromosome,Protein_Coding,protein_coding,50,0,0,Underrepresented,mraY,phospho-N-acetylmuramoyl-pentapeptide transferase,WP_000964131.1,Essential,,,,,,,
86,b0088,chromosome,Protein_Coding,protein_coding,49,0,0,Underrepresented,murD,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,WP_000796481.1,Essential,,,,,,,
87,b0089,chromosome,Protein_Coding,protein_coding,58,2,11,Underrepresented,ftsW,putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer,WP_001295532.1,Essential,,,,,,,
88,b0090,chromosome,Protein_Coding,protein_coding,41,0,0,Underrepresented,murG,N-acetylglucosaminyl transferase,WP_000016560.1,Essential,,,,,,,
89,b0091,chromosome,Protein_Coding,protein_coding,49,0,0,Underrepresented,murC,UDP-N-acetylmuramate:L-alanine ligase,WP_001096049.1,Essential,,,,,,,
90,b0092,chromosome,Protein_Coding,protein_coding,44,46,27,Neutral,ddlB,D-alanine:D-alanine ligase,WP_000130056.1,Not Essential,,,,,,,
91,b0093,chromosome,Protein_Coding,protein_coding,28,7,3,Underrepresented,ftsQ,"divisome assembly protein, membrane anchored protein involved in growth of wall at septum",WP_000075748.1,Essential,,,,,,,
92,b0094,chromosome,Protein_Coding,protein_coding,54,0,0,Underrepresented,ftsA,ATP-binding cell division FtsK recruitment protein,WP_000588474.1,Essential,,,,,,,
93,b0095,chromosome,Protein_Coding,protein_coding,41,2,26,Underrepresented,ftsZ,GTP-binding tubulin-like cell division protein,WP_000462776.1,Essential,,,,,,,
94,b0096,chromosome,Protein_Coding,protein_coding,38,3,70,Underrepresented,lpxC,UDP-3-O-acyl N-acetylglucosamine deacetylase,WP_000595482.1,Essential,,,,,,,
95,b0097,chromosome,Protein_Coding,protein_coding,17,18,3,Underrepresented,secM,regulator of secA translation,WP_000014321.1,Essential,,,,,,,
96,b0098,chromosome,Protein_Coding,protein_coding,103,4,36,Underrepresented,secA,"preprotein translocase subunit, ATPase",WP_000905789.1,Essential,,,,,,,
97,b0099,chromosome,Protein_Coding,protein_coding,17,47,46,Neutral,mutT,dGTP-preferring nucleoside triphosphate pyrophosphohydrolase,WP_000736007.1,Not Essential,,,,,,,
98,b0101,chromosome,Protein_Coding,protein_coding,2,50,21,Neutral,yacG,DNA gyrase inhibitor,WP_000005042.1,Not Essential,,,,,,,
99,b0102,chromosome,Protein_Coding,protein_coding,27,70,40,Neutral,zapD,FtsZ stabilizer,WP_001194734.1,Not Essential,,,,,,,
100,b0103,chromosome,Protein_Coding,protein_coding,25,12,86,Underrepresented,coaE,dephospho-CoA kinase,WP_001269520.1,Essential,,,,,,,
101,b0104,chromosome,Protein_Coding,protein_coding,38,53,32,Neutral,guaC,GMP reductase,WP_001217338.1,Not Essential,,,,,,,
102,b0106,chromosome,Protein_Coding,protein_coding,53,60,39,Neutral,hofC,"assembly protein in type IV pilin biogenesis, transmembrane protein",WP_000157266.1,Not Essential,,,,,,,
103,b0107,chromosome,Protein_Coding,protein_coding,63,75,37,Neutral,hofB,T2SE secretion family protein; P-loop ATPase superfamily protein,WP_001025145.1,Not Essential,,,,,,,
104,b0108,chromosome,Protein_Coding,protein_coding,19,74,54,Neutral,ppdD,putative prepilin peptidase-dependent pilin,WP_000360904.1,Not Essential,,,,,,,
105,b0109,chromosome,Protein_Coding,protein_coding,31,74,28,Neutral,nadC,quinolinate phosphoribosyltransferase,WP_001135174.1,Not Essential,,,,,,,
106,b0110,chromosome,Protein_Coding,protein_coding,20,70,41,Neutral,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase",WP_000923721.1,Not Essential,,,,,,,
107,b0111,chromosome,Protein_Coding,protein_coding,36,75,64,Neutral,ampE,ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation,WP_000172005.1,Not Essential,,,,,,,
108,b0112,chromosome,Protein_Coding,protein_coding,79,68,35,Neutral,aroP,aromatic amino acid transporter,WP_000969915.1,Not Essential,,,,,,,
109,b0113,chromosome,Protein_Coding,protein_coding,20,70,31,Neutral,pdhR,pyruvate dehydrogenase complex repressor; autorepressor,WP_000331776.1,Not Essential,,,,,,,
110,b0114,chromosome,Protein_Coding,protein_coding,110,1,8,Underrepresented,aceE,"pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding",WP_000003820.1,Not Essential,,,,,,,
111,b0115,chromosome,Protein_Coding,protein_coding,49,2,24,Underrepresented,aceF,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2",WP_000963518.1,Not Essential,,,,,,,
112,b0116,chromosome,Protein_Coding,protein_coding,49,2,7,Underrepresented,lpd,dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase,WP_000102485.1,Not Essential,,,,,,,
113,b0117,chromosome,Protein_Coding,protein_coding,71,76,51,Neutral,yacH,DUF3300 family protein,WP_000784470.1,Not Essential,,,,,,,
114,b0118,chromosome,Protein_Coding,protein_coding,82,6,3,Underrepresented,acnB,aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase,WP_001307570.1,Not Essential,,,,,,,
115,b0119,chromosome,Protein_Coding,protein_coding,13,46,114,Neutral,yacL,UPF0231 family protein,WP_000384306.1,Not Essential,,,,,,,
116,b0120,chromosome,Protein_Coding,protein_coding,51,65,26,Neutral,speD,S-adenosylmethionine decarboxylase,WP_000734287.1,Not Essential,,,,,,,
117,b0121,chromosome,Protein_Coding,protein_coding,41,54,35,Regional,speE,spermidine synthase (putrescine aminopropyltransferase),WP_000818411.1,Not Essential,,,,,,,
118,b0122,chromosome,Protein_Coding,protein_coding,14,57,16,Neutral,yacC,PulS_OutS family protein,WP_001295568.1,Not Essential,,,,,,,
119,b0123,chromosome,Protein_Coding,protein_coding,61,66,45,Neutral,cueO,multicopper oxidase (laccase),WP_001189647.1,Not Essential,,,,,,,
120,b0124,chromosome,Protein_Coding,protein_coding,88,73,46,Neutral,gcd,glucose dehydrogenase,WP_001306211.1,Not Essential,,,,,,,
121,b0125,chromosome,Protein_Coding,protein_coding,28,36,17,Regional,hpt,hypoxanthine phosphoribosyltransferase,WP_000683335.1,Not Essential,,,,,,,
122,b0126,chromosome,Protein_Coding,protein_coding,26,4,26,Underrepresented,can,carbonic anhydrase,WP_000651599.1,Essential,,,,,,,
123,b0127,chromosome,Protein_Coding,protein_coding,45,58,33,Neutral,yadG,putative ABC transporter ATPase,WP_000150637.1,Not Essential,,,,,,,
124,b0128,chromosome,Protein_Coding,protein_coding,34,77,34,Neutral,yadH,putative ABC transporter permease,WP_000972203.1,Not Essential,,,,,,,
125,b0129,chromosome,Protein_Coding,protein_coding,21,76,40,Neutral,yadI,putative PTS Enzyme IIA,WP_000901987.1,Not Essential,,,,,,,
126,b0130,chromosome,Protein_Coding,protein_coding,65,60,21,Neutral,yadE,putative polysaccharide deacetylase lipoprotein,WP_000277917.1,Not Essential,,,,,,,
127,b0131,chromosome,Protein_Coding,protein_coding,12,58,43,Neutral,panD,aspartate 1-decarboxylase,WP_000621515.1,Not Essential,,,,,,,
128,b0132,chromosome,Protein_Coding,protein_coding,43,74,30,Neutral,yadD,transposase_31 family protein,WP_000339954.1,Not Essential,,,,,,,
129,b0133,chromosome,Protein_Coding,protein_coding,31,48,38,Neutral,panC,pantothenate synthetase,WP_000905383.1,Not Essential,,,,,,,
130,b0134,chromosome,Protein_Coding,protein_coding,35,69,27,Neutral,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,WP_000805497.1,Not Essential,,,,,,,
131,b0135,chromosome,Protein_Coding,protein_coding,105,39,14,Regional,yadC,putative fimbrial-like adhesin protein,WP_000848455.1,Not Essential,,,,,,,
132,b0136,chromosome,Protein_Coding,protein_coding,42,33,8,Regional,yadK,putative fimbrial-like adhesin protein,WP_000553749.1,Not Essential,,,,,,,
133,b0137,chromosome,Protein_Coding,protein_coding,41,56,22,Neutral,yadL,putative fimbrial-like adhesin protein,WP_001310526.1,Not Essential,,,,,,,
134,b0138,chromosome,Protein_Coding,protein_coding,41,37,18,Neutral,yadM,putative fimbrial-like adhesin protein,WP_000598300.1,Not Essential,,,,,,,
135,b0139,chromosome,Protein_Coding,protein_coding,180,54,24,Neutral,htrE,putative outer membrane usher protein,WP_000151605.1,Not Essential,,,,,,,
136,b0140,chromosome,Protein_Coding,protein_coding,48,50,14,Regional,yadV,putative periplasmic pilin chaperone,WP_000465928.1,Not Essential,,,,,,,
137,b0141,chromosome,Protein_Coding,protein_coding,37,54,16,Neutral,yadN,putative fimbrial-like adhesin protein,WP_000038438.1,Not Essential,,,,,,,
138,b0142,chromosome,Protein_Coding,protein_coding,21,10,15,Underrepresented,folK,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,WP_000215139.1,Essential,,,,,,,
139,b0143,chromosome,Protein_Coding,protein_coding,57,37,18,Neutral,pcnB,poly(A) polymerase,WP_010723084.1,Not Essential,,,,,,,
140,b0144,chromosome,Protein_Coding,protein_coding,34,65,32,Neutral,gluQ,glutamyl-Q tRNA(Asp) synthetase,WP_000937424.1,Not Essential,,,,,,,
141,b0145,chromosome,Protein_Coding,protein_coding,15,7,7,Underrepresented,dksA,transcriptional regulator of rRNA transcription; DnaK suppressor protein,WP_001155227.1,Not Essential,,,,,,,
142,b0146,chromosome,Protein_Coding,protein_coding,36,61,26,Neutral,sfsA,sugar fermentation stimulation protein A,WP_000396036.1,Not Essential,,,,,,,
143,b0147,chromosome,Protein_Coding,protein_coding,19,58,50,Neutral,ligT,2'-5' RNA ligase,WP_001294700.1,Not Essential,,,,,,,
144,b0148,chromosome,Protein_Coding,protein_coding,85,62,50,Neutral,hrpB,putative ATP-dependent helicase,WP_001350480.1,Not Essential,,,,,,,
145,b0149,chromosome,Protein_Coding,protein_coding,88,35,25,Regional,mrcB,fused glycosyl transferase and transpeptidase,WP_000918162.1,Not Essential,,,,,,,
146,b0150,chromosome,Protein_Coding,protein_coding,118,75,54,Neutral,fhuA,ferrichrome outer membrane transporter,WP_000124438.1,Not Essential,,,,,,,
147,b0151,chromosome,Protein_Coding,protein_coding,22,59,35,Neutral,fhuC,iron(3+)-hydroxamate import ABC transporter ATPase,WP_001158931.1,Not Essential,,,,,,,
148,b0152,chromosome,Protein_Coding,protein_coding,35,71,28,Neutral,fhuD,iron(3+)-hydroxamate import ABC transporter periplasmic binding protein,WP_001310529.1,Not Essential,,,,,,,
149,b0153,chromosome,Protein_Coding,protein_coding,53,49,42,Neutral,fhuB,iron(3+)-hydroxamate import ABC transporter permease,WP_000044072.1,Not Essential,,,,,,,
150,b0154,chromosome,Protein_Coding,protein_coding,49,0,0,Underrepresented,hemL,glutamate-1-semialdehyde aminotransferase (aminomutase),WP_000045315.1,Essential,,,,,,,
151,b0155,chromosome,Protein_Coding,protein_coding,67,63,30,Neutral,clcA,H(+)/Cl(-) exchange transporter,WP_000845394.1,Not Essential,,,,,,,
152,b0156,chromosome,Protein_Coding,protein_coding,15,13,5,Underrepresented,erpA,iron-sulfur cluster insertion protein,WP_001295564.1,Essential,,,,,,,
153,b0157,chromosome,Protein_Coding,protein_coding,31,58,28,Neutral,yadS,UPF0126 family inner membrane protein,WP_000964221.1,Not Essential,,,,,,,
154,b0158,chromosome,Protein_Coding,protein_coding,24,50,58,Neutral,btuF,vitamin B12 ABC transporter periplasmic binding protein,WP_001129927.1,Not Essential,,,,,,,
155,b0159,chromosome,Protein_Coding,protein_coding,23,4,38,Underrepresented,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,WP_000689844.1,Not Essential,,,,,,,
156,b0160,chromosome,Protein_Coding,protein_coding,84,54,20,Neutral,dgt,deoxyguanosine triphosphate triphosphohydrolase,WP_000057073.1,Not Essential,,,,,,,
157,b0161,chromosome,Protein_Coding,protein_coding,49,51,23,Neutral,degP,"serine endoprotease (protease Do), membrane-associated",WP_000753946.1,Not Essential,,,,,,,
158,b0162,chromosome,Protein_Coding,protein_coding,50,72,60,Neutral,cdaR,carbohydrate diacid regulon transcriptional regulator; autoregulator,WP_000929443.1,Not Essential,,,,,,,
159,b0163,chromosome,Protein_Coding,protein_coding,24,67,28,Neutral,yaeH,UPF0325 family protein,WP_000272188.1,Not Essential,,,,,,,
160,b0164,chromosome,Protein_Coding,protein_coding,34,77,35,Neutral,yaeI,phosphodiesterase with model substrate bis-pNPP,WP_000625631.1,Not Essential,,,,,,,
161,b0166,chromosome,Protein_Coding,protein_coding,32,3,6,Underrepresented,dapD,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",WP_001186650.1,Essential,,,,,,,
162,b0167,chromosome,Protein_Coding,protein_coding,98,8,20,Underrepresented,glnD,uridylyltransferase,WP_001094586.1,Not Essential,,,,,,,
163,b0168,chromosome,Protein_Coding,protein_coding,36,3,37,Underrepresented,map,methionine aminopeptidase,WP_001018194.1,Essential,,,,,,,
164,b4414,chromosome,RNA,ncRNA,9,0,0,Underrepresented,tff,"novel sRNA, function unknown",---,Not Essential,,,,,,,
165,b0169,chromosome,Protein_Coding,protein_coding,22,0,0,Underrepresented,rpsB,30S ribosomal subunit protein S2,WP_000246882.1,Essential,,,,,,,
166,b0170,chromosome,Protein_Coding,protein_coding,24,0,0,Underrepresented,tsf,translation elongation factor EF-Ts,WP_000818114.1,Essential,,,,,,,
167,b0171,chromosome,Protein_Coding,protein_coding,28,4,2,Underrepresented,pyrH,uridylate kinase,WP_000224573.1,Essential,,,,,,,
